index,브랜드명,매장수,상호,대표자,법인설립등기일,사업자등록일,대표번호,대표팩스번호,사업자유형,법인등록번호,사업자등록번호,주소
19,트리플에이커피,53,(주)트리플컴퍼니,권창성,2020-04-29,2020-05-21,032-428-5296,032-426-5296,법인,120111-1068726,858-86-01552,"우 : 21582 인천광역시 남동구 선수촌공원로23번길 11 702호 24-5호 (구월동, 네이쳐프라자)"
20,캘리포니아도넛클럽,7,주식회사 릴라이어블피플,이명수,2021-12-24,2021-12-24,070-8872-1267,031-911-8057,법인,285011-0490677,423-81-02684,"경기도 고양시 일산서구 강성로 271,205-21호(대화동, 대화씨티빌)"
21,타타스베이글,7,주식회사 티에이,조금봉,2022-06-10,2022-06-24,1577-1379,041-577-5506,법인,161511-0321574,758-86-02659,"충청남도 천안시 동남구 신흥2길 43, 2동(신방동)"
22,요고 프로즌요거트(YOGO FROZEN YOGURT),5,(주)웰니스레시피,김지연,2021-10-15,2022-01-13,031-548-0401,050-401-3690,법인,135811-0429118,481-81-02318,"경기도 수원시 영통구 광교중앙로248번길 7-2, D동 207호(하동, 원희캐슬광교)"
23,이삐커피(yippee coffee),13,㈜이삐커피,이희정,2020-02-06,2020-02-12,1670-5828,051-204-1139,법인,180111-1267714,819-81-01848,우 : 46759 부산광역시 강서구 신호산단4로 54 3층(신호동)
24,커피 로드뷰,3,(유)올드브릭컴퍼니,장미정,2021-02-05,2021-02-22,010-5767-0603,000-000-0000,법인,210114-0149647,137-86-54520,우 : 55101 전라북도 전주시 완산구 황학6길 1-2 (동서학동)
25,핑크트럭 츄러스,6,핑크트럭츄러스,윤현희,-,2020-10-28,010-7124-1922,-,개인,-,672-05-01696,"우 : 10089 경기도 김포시 태장로 820 , 1층 105호(장기동, 엠프라자)"
26,카페마일로,15,(주)마일로,양현민,2021-12-29,2022-01-01,1600-2623,-,법인,180111-1413135,804-86-02419,"우 : 48515 부산광역시 남구 분포로 145 더블유스퀘어동 1층 1065호(용호동, 더블유)"
27,아아수혈,11,수혈컴퍼니,"김태호, 김재호",-,2021-01-01,0000-0000,-,개인,-,461-18-01344,우 : 01397 서울특별시 도봉구 도봉로 634 3층(창동)
28,스프링캔,7,마그네이트코리아,김나윤,-,2019-06-05,4610-2245,-,개인,-,651-05-01350,"우 : 48400 부산광역시 남구 전포대로 133 15층(문현동,WEWORK BICF)"
29,카페이수페,1,카페이수페,허정희,-,2018-11-12,044-866-0218,050-4046-5356,개인,-,479-01-01240,"세종특별자치시 남세종로 441, 상가1동 1층 107호(보람동, 호려울마을5단지)"
30,애니커피하우스,3,애니커피하우스,김도원,-,2021-04-25,1588-6334,000,개인,-,780-02-02165,우 : 63591 제주특별자치도 서귀포시 동문로 10 1층
31,다수니와플,42,(주)다수니,황다혜,2021-12-14,2021-12-24,010-2319-3155,-,법인,110111-8128434,207-88-02567,우 : 08776 서울특별시 관악구 신원로 40-9 지하1층 제11호(신림동)
32,스몰굿,19,한일인터내셔널(주),오지현,2007-05-15,2007-06-10,1522-0684,051-808-0385,법인,180111-0593285,606-86-03357,우 : 47018 부산광역시 사상구 가야대로64번길 34 (학장동)
33,발도스커피(valdos coffee),60,조이풀컴퍼니(주),최인혁,2009-06-05,2009-07-15,032-551-1003,032-551-1503,법인,120111-0498429,122-86-05560,"우 : 21314 인천광역시 부평구 새벌로 29 312호 313호 314호(청천동, 부평테크노타워)"
34,나나니스캔디,2,스윗드림,김영진,-,2013-02-18,033-254-4610,033-254-4612,개인,-,224-16-41097,우 : 26465 강원도 원주시 봄마중길 2-2 1층 101호(반곡동)
35,포트캔커피 PORT CAN COFFEE,71,(주)포트코퍼레이션,심상진,2021-07-05,2021-07-09,02-1544-8173,02-2212-2505,법인,110111-7946241,860-81-02559,"우 : 08019 서울특별시 양천구 오목로 138 1층 102호 일부 (신정동, 신정스포렉스)"
36,스쿱스젤라또,9,스쿱스젤라또,정석주,-,2018-05-05,02-0000-0000,-,개인,-,470-22-00633,우 : 28525 충청북도 청주시 상당구 사직대로 366 1층
37,그릴로(GRILLRO),4,(주)푸드넷시스템,최경업,2006-07-13,2006-07-20,02-6205-2121,02-6205-2126,법인,110111-3493957,106-86-44917,우 : 06711 서울특별시 서초구 남부순환로 2395 702호
38,벨렘351,4,빌리프,김대겸,-,2014-06-01,1899-5613,-,개인,-,602-09-39736,우 : 46702 부산광역시 강서구 대저로299번길 6 1동(대저1동)
39,홍루이젠,249,(주)타이웨이,송원섭,2017-11-02,2017-11-10,02-6382-8190,02-6338-8187,법인,110111-6556752,730-86-00779,우 : 10564 경기도 고양시 덕양구 삼송로 12 7층 701호 702호
40,디알해쉬커피,1,해쉬커피본점,손보영,-,2019-11-27,055-232-6967,-,개인,-,873-35-00638,우 : 51240 경상남도 창원시 마산회원구 내서읍 광려로 22 1층
41,옐로우팜(YELLOW FARM),7,옐로우팜,김경순,-,2020-06-05,1577-9053,063-241-0186,개인,-,750-08-01658,우 : 55351 전라북도 완주군 용진읍 상운길 46-10 .
42,채우다,10,(주)채움에프앤비,김아라,2020-04-09,2020-05-01,031-976-7450,031-907-7450,법인,285011-0438180,512-87-01861,우 : 10335 경기도 고양시 일산동구 소개울1길 71 황금빌딩 4층 (주)채움에프앤비
43,봉명동내커피,76,(주)비엠디,김 지우,2021-03-08,2021-03-08,1899-2968,-,법인,150111-0303987,234-86-02129,우 : 28581 충청북도 청주시 흥덕구 직지대로436번길 76 1034호
44,커피식구,6,(주)커피식구컴퍼니,경광배,2020-07-01,2020-07-01,02-6246-4300,000-0000-0000,법인,110111-7538816,456-87-01727,우 : 06738 서울특별시 서초구 강남대로34길 53 남정빌정 1층(양재동)
45,헬리빈커피(HELIBEAN COFFEE),5,(주)헬리빈,임윤주,2017-02-23,2017-02-24,001-899-9388,000000000000,법인,175011-0020980,278-81-00693,우 : 42981 대구광역시 달성군 논공읍 논공로 626 1층
46,운커피(WOON COFFEE),4,(주)남쪽나라,오세형,2017-02-20,2017-02-22,02-1855-2026,051-818-8108,법인,180111-1079763,169-86-00657,우 : 47305 부산광역시 부산진구 전포대로176번길 23 3층 (전포동)
47,점프(JUMP),20,(주)범브로스,구범서,2022-01-10,2022-01-24,010-7518-5679,043-234-5958,법인,150111-0322383,417-88-02368,우 : 28399 충청북도 청주시 흥덕구 풍년로142번길 19 (가경동)
48,와커피 (WA’ COFFEE),9,(주)정철,안정철,2021-05-18,2021-05-24,1599-8006,000-000-0000,법인,180111-1363843,892-81-02255,우 : 50510 경상남도 양산시 장기터1길 29-29 1동(주남동)
49,샐러드로우앤트라타,31,(주)샐러드로우앤트라타,김성규,2019-08-08,2019-08-27,02-457-2498,-,법인,110111-7197092,318-86-01559,"우 : 05026 서울특별시 광진구 아차산로 345 2층 205호(자양동, 래미안프리미어팰리스)"
50,3X-LARGE COFFEE,12,(주)정명에프앤비,오동호,2019-08-21,2019-08-21,031-982-5617,031-982-5618,법인,124411-0242496,893-87-01697,우 : 10090 경기도 김포시 태장로 765 616호
51,카페마차(Cafe Macha),5,카페티,유지나,-,2020-05-01,6529-3587,000,개인,-,798-03-01714,우 : 01221 서울특별시 강북구 월계로7길 17 우측(미아동)
52,땡큐베리머치,1,땡큐베리머치,신선미,-,2017-08-27,010-6794-0905,000000000,개인,-,533-18-00543,우 : 34915 대전광역시 중구 중교로 49 지하1층(대흥동)
53,교동도나스1979,31,(주)교동에프씨,장영숙,2020-11-10,2021-02-01,1661-6811,050-4038-3342,법인,174811-0108799,365-88-01831,우 : 38607 경상북도 경산시 삼성현로 635-1 1
54,커피스토어,19,(주)디아이디코리아드링크,정희동,2022-01-13,2022-01-13,1600-8158,-,법인,180111-1416402,143-86-02482,"우 : 47542 부산광역시 연제구 중앙대로1039번길 4 301호(연산동, 수호빌딩)"
55,오슬랑,13,(주)고구려에프앤비,마건희,2020-06-22,2020-06-22,1644-0653,050-4180-1238,법인,170111-0776594,610-86-35329,우 : 41942 대구광역시 중구 동성로5길 44 (삼덕동1가)
56,빨라쪼델프레도,28,(주)빨라쪼,박재구,2002-12-18,2002-12-18,02-709-7817,02-709-7819,법인,110111-2676257,211-87-26090,우 : 04352 서울특별시 용산구 한강대로72길 3 2층 빨라쪼
57,바빈스,43,(주)퍼스트에이엔티,백호근,2002-08-27,2002-08-27,02-717-3380,02-717-9976,법인,110111-2596611,105-86-43818,우 : 03925 서울특별시 마포구 월드컵북로 402 KGIT센터 1505호
58,에이쓰리바우트커피,1,(주)에이쓰리바우트커피,김사원,2016-09-02,2016-09-08,02-704-0701,02-704-0701,법인,110111-6167509,166-87-00451,우 : 06035 서울특별시 강남구 강남대로154길 19 지층
59,봄봄테이크아웃(봄봄TAKE-OUT),291,(주)봄봄,이승은,2019-03-11,2019-03-14,070-7817-1100,053-756-7373,법인,170111-0714685,805-81-01591,우 : 42121 대구광역시 수성구 달구벌대로 2280 4층(수성동1가)
60,놀러와플,20,(주)아디씨,김형민,2020-09-17,2020-09-17,010-5560-1993,02-0000-0000,법인,110111-7627221,546-86-02018,"우 : 06214 서울특별시 강남구 언주로 408 B14호(역삼동, 역삼자이상가)"
61,꽈로플,8,㈜제이피에프엔비,정동주 박한수,2021-07-15,2021-07-26,02-6953-8664,-,법인,110111-7959153,524-81-02221,우 : 06570 서울특별시 서초구 도구로16길 3 4층 402호
62,호밀호두,56,(주)호밀호두,이광복,2008-06-27,2008-07-07,02-552-5152,02-6713-7020,법인,110111-3924093,220-87-68435,우 : 06176 서울특별시 강남구 영동대로76길 8 굳후렌드빌딩 2층
63,팔공티,334,(주)팔공티,김종현,2018-08-17,2018-08-24,1577-8246,070-8673-0354,법인,110111-6846137,669-88-01126,"우 : 12902 경기도 하남시 미사강변한강로 155 제9층 901호(망월동, 미사강변에스케이브이1센터)"
64,파란만잔,17,(주)파란만잔,한경민,2018-06-15,2018-07-01,02-3144-7856,02-3144-7866,법인,110111-6781416,570-86-01050,"우 : 04150 서울특별시 마포구 대흥로 60 지하2층(대흥동, 스카이빌딩)"
65,어벤더치커피,59,(주)카페폴인,장원우,2015-09-11,2015-09-11,1599-9673,-,법인,180111-0992560,624-87-00170,우 : 46026 부산광역시 기장군 정관읍 산단5로 76-62 2층
66,슈퍼커피,30,(주)슈퍼커피,김경호,2014-03-28,2014-04-01,02-2631-6017,02-2138-6017,법인,110111-5377795,107-88-16043,"우 : 07291 서울특별시 영등포구 영등포로 106 102,103,105층"
67,모리셔스브라운(Mauritius Brown),19,(주)서진,박종원,2018-07-20,2018-09-23,015226398,050-4372-7859,법인,110111-6818756,321-86-01012,우 : 12925 경기도 하남시 미사대로 510 10층 1018호
68,송사부수제쌀고로케,96,(주)마스터에프엔비,"강지훈, 허윤재",2018-04-10,2018-04-10,02-2675-5175,02-2676-5175,법인,110111-6715788,705-81-00991,"우 : 07205 서울특별시 영등포구 양평로22길 21 제11층 제에이1112호(양평동5가, 선유도 코오롱디지털타워)"
69,트루먼커피,2,카페마이플레이스,김지욱,-,2017-12-09,051-731-1835,-,개인,-,749-27-00418,"우 : 48119 부산광역시 해운대구 마린시티2로 33 104동 219, 220호"
70,스트릿츄러스,58,(주)솔라벨,소상우,2014-10-20,2014-10-22,02-6263-0303,02-796-3103,법인,110111-5541506,106-87-09917,우 : 04345 서울특별시 용산구 녹사평대로46길 16-4 (이태원동)
71,베브릿지,20,(주)월드베브릿지,"조현우, 김연지",2015-09-18,2015-11-02,1522-8337,02-966-5661,법인,110111-5841675,345-88-00139,우 : 02440 서울특별시 동대문구 휘경로 4 3층(이문동)
72,베이리프커피(BAYLEEF COFFEE),13,(주)지제이케이홀딩스,정요섭,2016-04-15,2016-04-15,070-8624-8304,050-3396-8304,법인,110111-6033429,270-87-00444,우 : 12918 경기도 하남시 조정대로 35 3층 F301호
73,카페606,7,(주)세영에프앤비,장세영,2016-01-11,2016-02-16,001-522-6006,051-980-7070,법인,180111-1012672,304-88-00254,우 : 51600 경상남도 창원시 진해구 남의로 109 (두동)
74,로반스윗,10,(주)로반스윗,배영윤,2017-04-06,2017-03-20,02-414-9972,02-0000-0000,법인,110111-6368157,628-81-00684,우 : 05108 서울특별시 광진구 뚝섬로52마길 50-12 201호
75,쥬씨(JUICY),447,(주)쥬씨,윤석제,2015-06-26,2015-07-01,02-1522-1028,02-2294-1028,법인,110111-5765304,720-81-00137,우 : 04788 서울특별시 성동구 왕십리로16가길 24 (성수동1가)
76,오니와플,8,오니와플,도해인,-,2019-11-18,000-0000-0000,000000000000,개인,-,507-14-38514,우 : 38852 경상북도 영천시 삼산길 22-4 1층
77,더노벰버 라운지,18,더노벰버(주),최석률,2006-07-03,2006-07-01,032-832-1982,032-832-1982,법인,110111-3487158,211-87-84066,"우 : 22009 인천광역시 연수구 컨벤시아대로230번길 42 1층 123호(송도동, 송도아라플라자)"
78,카페아에,24,(주)아에,김수철,2020-06-01,2020-06-01,000,031-874-0089,법인,280211-0210167,580-88-01857,우 : 11661 경기도 의정부시 가능로 28-3 2층
79,알리바바(ALIBABA),64,알리바바파트너스(주),김지환,2016-04-28,2016-04-30,02-711-4572,02-711-4577,법인,110111-6046662,570-88-00434,"우 : 05855 서울특별시 송파구 송파대로 167 제A동 제2층 201호(문정동, 문정역테라타워)"
80,더벤티,946,(주)에스앤시세인,"최준경, 박수암, 강삼남",2015-07-22,2015-07-22,1661-4553,051-583-0224,법인,180111-0984351,534-88-00122,"우 : 48058 부산광역시 해운대구 센텀서로 30 25층 2507호(우동, 케이엔엔타워)"
81,반달커피,75,루나에프엔비(주),"장은지, 이미혜",2020-01-17,2020-01-17,1833-6011,050-4418-3531,법인,134511-0430708,273-87-01699,우 : 17027 경기도 용인시 처인구 포곡읍 포곡로124번길 17 1층 좌측 일부호(영광빌딩)
82,모쿠816(Moku816),3,(주)사실주의컴퍼니,김범준,2017-09-08,2017-09-20,010-2956-0502,02-544-0502,법인,110111-6511293,684-87-00944,우 : 06046 서울특별시 강남구 논현로131길 12 3층(논현동)
83,어오케이커피(A.OK COFFEE),9,(주)어오케이컴퍼니,최정민,2021-01-06,2021-01-11,070-4186-0881,-,법인,180111-1334422,372-87-01958,우 : 47301 부산광역시 부산진구 서전로57번길 45 5층(전포동)
84,하이커피,3,하이커피(HIGHCOFFEE),박형일,-,2021-09-01,1566-6039,-,개인,-,459-13-01929,우 : 62276 광주광역시 광산구 첨단중앙로106번길 29 1층
85,동네커피,45,동네컴퍼니,정인숙,-,2021-06-23,1811-9245,-,개인,-,722-25-01382,우 : 46722 부산광역시 강서구 금호순서길 31-4 .
86,쥬청과,5,순수유통(주),고두현,2000-01-04,2000-01-11,02-409-9137,02-409-4683,법인,116511-0030005,132-81-33433,우 : 05827 서울특별시 송파구 송이로 165 수일빌딩 6층 (순수유통)
87,더베이크,27,세영이지(주),윤성민,2009-04-15,2009-04-20,02-6279-1289,02-3147-0306,법인,110111-4078865,110-81-85775,우 : 03779 서울특별시 서대문구 신촌로 99 (창천동)
88,에슬로우 커피(ESLOW COFFEE),36,(주)에슬로우,조재근,2015-03-03,2015-03-09,02-558-7710,-,법인,285011-0288163,291-86-00046,우 : 06194 서울특별시 강남구 선릉로90길 64 1층(대치동)
89,모도,18,모도,조은빛,-,2020-09-17,02-0000-0000,02-0000-0000,개인,-,695-22-00964,우 : 51363 경상남도 창원시 마산회원구 합성옛길 29 1층
90,블루빈스커피,14,(주)블루빈스커피,박근원,2020-08-28,2020-09-03,018990940,031-551-4433,법인,284111-0240211,694-87-01955,우 : 10401 경기도 고양시 일산동구 무궁화로 32-34 204호
91,패스트카페,29,(주)피투피시스템즈,김영권,2001-08-08,2001-12-20,02-1588-5935,02-363-1026,법인,110111-2304171,110-81-53273,"우 : 03779 서울특별시 서대문구 연세로 10-1 (창천동,즐거운빌딩 9층)"
92,오늘한과,1,(주)수요일,김혜지,2017-05-01,2017-05-10,02-0000-0000,02-0000-0000,법인,110111-6391455,749-87-00595,우 : 04029 서울특별시 마포구 잔다리로 77 5층 501호
93,카페희다,30,(주)희다,강성훈,2021-01-19,2021-01-19,02-2039-9131,-,법인,110111-7755486,562-86-02136,우 : 08513 서울특별시 금천구 벚꽃로 244 512호
94,감성커피,271,(주)비브라더스,이재영,2013-12-03,2013-12-02,02-401-1966,02-6937-1192,법인,110111-5283190,215-87-87293,우 : 05829 서울특별시 송파구 중대로12길 9 (가락동)
95,아이캔커피,24,두어컴퍼니,"서동호, 정윤희",-,2020-12-03,1855-2910,050-4184-6710,개인,-,445-11-01722,우 : 17870 경기도 평택시 용죽2로 30 311동 1003호
96,달빛과일,26,(주)달빛푸드,선유지,2021-05-24,2021-05-24,1577-1167,02-470-8403,법인,110111-7896389,104-88-02012,우 : 12986 경기도 하남시 초이로126번길 40 1층
97,복고다방,40,(주)에스엔인더스트리,이상준,2010-11-04,2010-11-06,02-1544-9552,02-448-9552,법인,110111-4464717,105-87-51085,우 : 08378 서울특별시 구로구 디지털로 306 1003호
98,요거트아이스크림맛집요맛,7,더히얼컴퍼니,이한얼,-,2022-02-17,4465-9877,-,개인,-,612-55-00614,우 : 63135 제주특별자치도 제주시 연북로 161 2층 16호
99,카페바움(KAFFEE BAUM),21,(주)더바움코리아,신철호,2017-05-30,2017-06-02,031-477-9648,031-477-9649,법인,134111-0469268,195-81-00821,"우 : 16071 경기도 의왕시 맑은내길 67 204호(오전동, 에이엘티지식산업센터)"
100,하이빙수,,(주)펀코리아,김득호,2019-02-22,2019-02-26,1644-5462,000,법인,110111-7022934,133-81-44699,우 : 05016 서울특별시 광진구 능동로13길 39 2층(화양동)
101,RITTO,1,주식회사 아이에스컴퍼니,배옥임,2020-06-18,2020-06-18,070-4175-1770,070-5175-0082,법인,134911-0097956,554-88-01799,"경기도 화성시 정남면 정남산단3길 35, 에이동"
102,크로앙쥬,51,㈜케이에이치파트너스,신경환,2021-01-20,2021-01-20,016884116,000,법인,135811-0410969,756-81-02207,우 : 16226 경기도 수원시 영통구 대학4로 9 201호
103,비엔나커피하우스,38,(주)제이엠케이,정의석,2013-03-06,2013-05-23,02-769-1104,02-6959-5644,법인,110111-5081510,211-88-95217,우 : 04778 서울특별시 성동구 왕십리로 58 지식산업센터 포휴 11층 1107호
104,THE 더 맛있는 과일&1L커피,11,(주)신아에프앤비,구경희,2021-02-18,2021-03-03,02-2686-1690,02-2687-1690,법인,131411-0485427,643-87-02000,우 : 15461 경기도 안산시 단원구 광덕서로 96 116호 일부
105,기기커피,2,(주)비티브랜즈코리아,이정우,2020-06-08,2020-06-11,02-1644-2437,02-2294-1028,법인,110111-7511268,287-87-02057,우 : 04780 서울특별시 성동구 성수일로 20 2층
106,천씨씨커피,68,더천씨씨코리아,이성규,-,2020-04-27,070-7659-1000,-,개인,-,657-71-00261,우 : 52518 경상남도 사천시 사천읍 읍내로 33 (정의리)
107,샐식당,13,샐푸드,백정엽,-,2021-06-01,0000000,02-6442-4945,개인,-,228-10-62243,우 : 32805 충청남도 계룡시 엄사면 전원로 5-14 201호
108,요요일,2,요요일,이재철,-,2020-12-14,2877-2944,-,개인,-,280-19-01529,우 : 04701 서울특별시 성동구 왕십리로 410 디동 201호
109,블럭제빵소,47,(주)블럭제빵소,박재영,2017-08-22,2017-09-04,001-833-9874,000000000,법인,131111-0491230,342-88-01032,"우 : 13587 경기도 성남시 분당구 불정로376번길 31 604동 216호 (서현동, 효자촌 주상복합)"
110,크로플로,11,(주)희라이프파트너스,이보라,2021-10-08,2021-10-15,1600-7327,-,법인,110111-8048400,715-87-02251,우 : 07720 서울특별시 강서구 강서로 145 제1층 102호
111,뉴플레이스커피,,(주)뉴플레이스에프엔비,강장훈,2022-01-18,2022-01-20,02-511-9924,02-511-9925,법인,110111-8171673,543-86-02324,우 : 06083 서울특별시 강남구 영동대로 602 6층
112,메이젠,50,(주)메이젠,조광구,2018-08-23,2018-08-08,032-837-4177,-,법인,120111-0954067,712-86-01329,"우 : 21990 인천광역시 연수구 송도미래로 30 비동 906호(송도동, 스마트밸리)"
113,날쌘카페,56,날쌘카페(주),안지현,2018-01-26,2018-02-05,031-634-7755,031-0000-0000,법인,110111-6642246,394-86-01010,우 : 17302 경기도 이천시 신둔면 원적로 151 -
114,텐퍼센트스페셜티커피,375,(주)더쉐프,김태경,2013-06-18,2013-06-18,1855-1727,051-996-7779,법인,180111-0865501,621-86-03303,우 : 47568 부산광역시 연제구 좌수영로 290 3층(연산동)
115,과일의숲,1,데일리푸드,김다해,-,2021-04-07,055-724-3002,050-5088-2893,개인,-,757-22-01446,우 : 51012 경상남도 김해시 대청로26번안길 20 1층 코너호(관동동)
116,우지커피(OOZYCOFFEE),5,우지(OOZY),이강원,-,2018-10-18,1811-9024,02-414-0242,개인,-,619-17-75657,"우 : 05550 서울특별시 송파구 오금로17길 14 201호(방이동, 월드빌딩)"
117,카페051(cafe051),209,(주)공오일,유기성,2020-12-18,2021-01-01,051-1577-7978,-,법인,180111-1331387,296-86-02068,우: 48059 부산시 해운대구 센텀중앙로 78(우동) 센텀그린타워 308호
118,브이카페,6,(주)브이앤케이코퍼레이션,정재학,2018-01-03,2018-01-02,02-554-7276,02-554-7277,법인,110111-6617455,616-86-28582,우 : 08506 서울특별시 금천구 가산디지털2로 98 1동 615호
119,올리버브라운카페,4,(주)올리버브라운코리아,박주한,2014-11-05,2014-11-05,02-330-4298,02-330-4297,법인,110111-5556480,110-86-15177,우 : 07327 서울특별시 영등포구 여의나루로 71 1층 101호
120,빙찌,27,(주)아디씨,김형민,2020-09-17,2020-09-17,010-5560-1993,02-0000-0000,법인,110111-7627221,546-86-02018,"우 : 06214 서울특별시 강남구 언주로 408 B14호(역삼동, 역삼자이상가)"
121,79파운야드(79 FOUNYARD),58,(주)에이알피에프엔비,"김종호, 함재승, 홍기호",2020-08-18,2020-08-18,1522-0405,000,법인,110111-7591757,608-88-01892,"우 : 04799 서울특별시 성동구 아차산로15길 52 3층 304호(성수동2가, 삼환디지털벤처타워)"
122,넉넉한샐러드앤커피,2,(주)빌드업메이트,문정희,2021-08-02,2021-08-02,02-2132-8213,02-6442-4921,법인,110111-7977212,643-87-02131,"우 : 03925 서울특별시 마포구 월드컵북로 396 알109호(상암동, 누리꿈스퀘어)"
123,페이브(fave),20,주식회사 지에프앤비,송현근,2018-09-14,2022-07-26,02-537-5013,02-532-8508,법인,110111-6846335,670-88-01048,"서울특별시 서초구 서초대로25길 32, 1층(방배동, 엠아이 빌딩)"
124,파더스베이글(father'sbagel),9,파더스베이글,황대산,-,2017-01-11,062-225-2289,000-000-0000,개인,-,267-08-00540,우 : 61482 광주광역시 동구 서석로 47-1 (충장로1가)
125,초록테이블,2,(주)따뜻한친구들,김용진,2020-04-02,2021-02-18,062-369-4560,053-655-0658,법인,200111-0594296,139-88-01741,우 : 61942 광주광역시 서구 내방로 231 2층(쌍촌동)
126,제이델링,10,엘제이에스컴퍼니,이재성,-,2019-12-13,010-9392-9462,000,개인,-,256-11-01156,우 : 28808 충청북도 청주시 상당구 호미로 14 104동 2103호
127,커피니(COFFEENIE),124,(주)커피니,우정선,2009-07-01,2009-07-01,02-546-1325,02-546-1335,법인,110111-4128371,211-88-28926,우 : 06017 서울특별시 강남구 언주로 866 5층(신사동)
128,삼송빵집,24,(주)삼송비엔씨(BNC),박성욱,2015-05-11,2015-05-21,053-556-3030,053-254-3031,법인,170111-0565575,720-87-00099,"우 : 41919 대구광역시 중구 경상감영길 40 1, 2, 7층(서문로1가, 삼성화재)"
129,몽슈슈,33,(주)몬쉘코리아,김수근,2013-05-20,2013-05-20,02-6205-3574,02-6205-0299,법인,110111-5138444,120-87-98468,"우 : 04794 서울특별시 성동구 아차산로 103 706호 ( 성수동2가, 영동테크노타워 )"
